subgroup,n,acc,kappa,macro_auc,cal_slope,cal_intercept,cal_r,n_bins,acc_fmt,kappa_fmt,macro_auc_fmt,cal_slope_fmt,cal_intercept_fmt,cal_r_fmt
age:<65,1118,0.5876565295169947,0.4538441404581835,0.8262451219286673,1.0829579576926658,-0.057770060003712966,0.9971511386301155,10,0.59,0.45,0.83,1.08,-0.06,1.00
age:65-80,1157,0.5280898876404494,0.3852512139819581,0.8356224925879623,1.1385444567315317,-0.06174586751950087,0.9842602385277868,10,0.53,0.39,0.84,1.14,-0.06,0.98
age:>80,600,0.47,0.31400219317957107,0.7830519015616794,1.0163625675560595,0.046671887826963056,0.9751341083976165,10,0.47,0.31,0.78,1.02,0.05,0.98
gender:male,1476,0.5535230352303523,0.4256409166276944,0.8372640972955843,1.1067662474279403,-0.04985815938133548,0.9940320209991458,10,0.55,0.43,0.84,1.11,-0.05,0.99
gender:female,1399,0.5239456754824875,0.38482432776832154,0.8198902285981066,1.1187637088913174,-0.045119966403181416,0.9917444453499861,10,0.52,0.38,0.82,1.12,-0.05,0.99
