dataset,pathway,method,stat,p,fdr,n,dir,sig,table,n_sig,overlap_with_atlas70,jaccard_vs_atlas70,min_p,min_fdr,n_pathways,n_atlas_sig,n_recomputed_sig,max_abs_dstat,max_abs_dp,celltype,label,n_markers,n_detected,score_baseline_mean,score_followup_mean,mean_change,t_paired,p_paired,p_wilcoxon,sig_fdr,sample,patient,time,score,orig_t,orig_p,orig_fdr,neut_adj_t,neut_adj_p,neut_adj_fdr,ancova_t,ancova_p,ancova_fdr,allcell_adj_t,allcell_adj_p,allcell_adj_fdr,in_atlas70,sig_orig,sig_neut_adj,sig_allcell_adj,corr_with_neutrophil
GSE37587,KEGG:Arrhythmogenic right ventricular cardiomyopathy,t_BH,0.043976312017054715,0.9651883139307156,0.9961621963650098,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Ascorbate and aldarate metabolism,t_BH,0.4959841773615107,0.6231929574832021,0.8867812262134083,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Asthma,t_BH,0.38268328311695343,0.7044084580768087,0.91626480106889,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Autoimmune thyroid disease,t_BH,0.12524884347988322,0.9010864670422778,0.9764310595767514,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Autophagy,t_BH,0.7097024776674536,0.4828735883659725,0.8192486808532959,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Axon guidance,t_BH,0.4141967046614927,0.6814100276178239,0.908935691860486,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:B cell receptor signaling pathway,t_BH,1.6243952605609528,0.11380626180828951,0.5378698763318068,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Bacterial invasion of epithelial cells,t_BH,-0.3084171450834539,0.7597034997453003,0.9351830770982557,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Basal cell carcinoma,t_BH,-0.2087370708782565,0.8359366140560021,0.9554657187024763,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Basal transcription factors,t_BH,3.869860424934468,0.0004860545301110391,0.046061617585378765,34.0,up,1.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Base excision repair,t_BH,1.6381766672942837,0.11088629931510051,0.5336112302987261,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
