pathway,atlas_dir,atlas_stat,atlas_p,atlas_fdr,GSE16561_stroke_vs_control_t,GSE16561_stroke_vs_control_dir,GSE16561_stroke_vs_control_concordant,GSE22255_stroke_vs_control_t,GSE22255_stroke_vs_control_dir,GSE22255_stroke_vs_control_concordant,GSE58294_stroke_vs_control_3h_t,GSE58294_stroke_vs_control_3h_dir,GSE58294_stroke_vs_control_3h_concordant,GSE58294_stroke_vs_control_5h_t,GSE58294_stroke_vs_control_5h_dir,GSE58294_stroke_vs_control_5h_concordant,GSE58294_stroke_vs_control_24h_t,GSE58294_stroke_vs_control_24h_dir,GSE58294_stroke_vs_control_24h_concordant,GSE58294_24h_vs_3h_t,GSE58294_24h_vs_3h_dir,GSE58294_24h_vs_3h_concordant
REAC:Removal of the Flap Intermediate from the C-strand,up,4.383664626989291,0.0001119015643852,0.0247107134935559,-1.7561074951773576,down,False,0.39777426290196866,up,True,0.8479247880720036,up,True,-0.5101387519721099,down,False,-1.2320839024437131,down,False,-1.508448167118507,down,False
GOBP:positive regulation of circadian rhythm (GO:0042753),down,-4.346088627531251,0.0001247557339205,0.0253857796635651,-0.5227451390702034,down,True,-0.4650512578100935,down,True,0.7717945943248833,up,False,-1.2680456890891643,down,True,-0.04850543828598927,down,True,-0.6096785619858239,down,True
GOBP:microvillus assembly (GO:0030033),up,4.297862076091614,0.0001434023135626,0.0258451941129491,-0.9626730806182692,down,False,-0.3366282379935541,down,False,-0.03629300150487832,down,False,-1.2148014614700828,down,False,-0.7677352646391136,down,False,-0.5235699609586811,down,False
KEGG:Acute myeloid leukemia,up,4.32320621119505,0.0001332848184934,0.0258451941129491,2.6993805207082007,up,True,0.2482868551276845,up,True,-1.862604736280962,down,False,2.082297554820138,up,True,0.7043523037629594,up,True,1.809963400878938,up,True
"GOBP:nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)",down,-4.315965056671016,0.0001361015571072,0.0258451941129491,-2.3625296102196884,down,True,-0.5147289514465226,down,True,-0.5304614101995907,down,True,-1.105705119070567,down,True,0.23280329654843684,up,False,0.4794819139963679,up,False
REAC:Processive synthesis on the C-strand of the telomere,up,4.302603347987279,0.0001414537733604,0.0258451941129491,-1.6509057812040269,down,False,0.25484345367996103,up,True,0.7173410985231172,up,True,-0.44932803408195676,down,False,-1.0485722135976463,down,False,-1.2523793963408993,down,False
REAC:Regulation of HSF1-mediated heat shock response,up,4.20295029710018,0.0001884576173306,0.0330219625033872,-1.11479917676229,down,False,-0.012787457178237916,down,False,0.1891687925922237,up,True,-2.195172079212533,down,False,0.5612596992188309,up,True,0.3123465307463756,up,True
REAC:HIV Transcription Initiation,up,4.102676417370478,0.0002511576380184,0.033530411355792,-1.9479868599803623,down,False,-1.2192667762618983,down,False,-0.14848638883261364,down,False,-3.1271030724412383,down,False,-0.7304018033011598,down,False,-0.35602584589851194,down,False
GOBP:protein export from nucleus (GO:0006611),up,4.097159917892812,0.0002551458061315,0.033530411355792,-0.3606233308974297,down,False,0.6279263779565198,up,True,-0.36502276500146735,down,False,-0.7854981004482554,down,False,-1.4784684687580198,down,False,-0.7496935909219177,down,False
REAC:Neddylation,down,-4.1198086286225495,0.0002391574082678,0.033530411355792,-1.1654283195183421,down,True,-1.4190954724429705,down,True,0.1883651474614423,up,False,-1.2350250708504966,down,True,0.24159988988596057,up,False,0.03946948857138844,up,False
