seed,xgb_ts_macro_auc,xgb_ts_acc,xgb_ts_kappa,stack_macro_auc
1,0.8284064760642824,0.5245217391304348,0.39659994113582064,0.8321398602222048
7,0.8282465163816276,0.5297391304347826,0.4028243779779084,0.8319628596857819
42,0.826036932457666,0.5297391304347826,0.40239046887364505,0.8303969995316925
123,0.8266844128599815,0.5276521739130435,0.40040218396891136,0.8292409379784029
2024,0.8254976985921579,0.528695652173913,0.4026664250115499,0.8298035019079579
mean,0.8269744072711431,0.5280695652173912,0.40097667939356707,0.830708831865208
sd,0.0013050581332128693,0.0021638025759994155,0.002634099171245259,0.0012934452183936834
min,0.8254976985921579,0.5245217391304348,0.39659994113582064,0.8292409379784029
max,0.8284064760642824,0.5297391304347826,0.4028243779779084,0.8321398602222048
