cutoff,pt,xgb_static,proposed,treat_all
2,0.01,0.7073342116820378,0.7073342116820378,0.7073342116820378
2,0.02,0.7043478260869566,0.7043478260869566,0.7043478260869566
2,0.03,0.7013106230389959,0.701299865531152,0.701299865531152
2,0.04,0.6982028985507246,0.6981884057971014,0.6981884057971014
2,0.05,0.695066361556064,0.6950114416475972,0.6950114416475972
2,0.060000000000000005,0.6912710453283996,0.6917668825161887,0.6917668825161887
2,0.06999999999999999,0.6878279569892473,0.6884525479195885,0.6884525479195885
2,0.08,0.6844310018903592,0.6848090737240076,0.6850661625708885
2,0.09,0.6808944099378882,0.6814639273769709,0.6816053511705685
2,0.09999999999999999,0.6777584541062802,0.6780289855072464,0.6780676328502415
2,0.11,0.6749780166096727,0.6741807523204689,0.6744504152418173
2,0.12,0.6724268774703558,0.6709723320158103,0.6707509881422925
2,0.13,0.6692413793103449,0.6669585207396301,0.6669665167416292
2,0.14,0.6660141557128412,0.6636521739130434,0.6630940343781597
2,0.15000000000000002,0.6628542199488491,0.660317135549872,0.6591304347826087
2,0.16,0.6595610766045549,0.6568447204968945,0.6550724637681159
2,0.17,0.6560377160817182,0.6534646411733892,0.650916710319539
2,0.18000000000000002,0.6511049840933192,0.6507910922587486,0.6466595970307529
2,0.19,0.6479828234031133,0.6464755770263017,0.6422973698336018
2,0.2,0.6437391304347827,0.6437391304347826,0.6378260869565218
2,0.21000000000000002,0.6405327462850853,0.6406560264171711,0.633241607044579
2,0.22,0.6373065774804906,0.6374403567447046,0.6285395763656633
2,0.23,0.6339424054206663,0.6340914737436477,0.6237154150197628
2,0.24000000000000002,0.6293455377574371,0.6298581235697941,0.6187643020594966
2,0.25,0.6262028985507246,0.6266666666666667,0.6136811594202899
2,0.26,0.6230223266745005,0.6243478260869565,0.608460634547591
2,0.27,0.6172960095294818,0.6200071471113758,0.6030970815961882
2,0.28,0.6146280193236715,0.6159420289855072,0.5975845410628019
2,0.29000000000000004,0.6113753827311696,0.611385180649112,0.5919167176974893
2,0.3,0.6081490683229813,0.6078509316770186,0.5860869565217391
2,0.31,0.6043402646502836,0.6045217391304348,0.5800882167611846
2,0.32,0.5995294117647059,0.6011867007672634,0.5739130434782609
2,0.33,0.5960960415314731,0.597731343283582,0.5675535366645035
2,0.34,0.5924953886693017,0.5935704874835309,0.5610013175230566
2,0.35000000000000003,0.5881739130434782,0.5908494983277591,0.5542474916387959
2,0.36000000000000004,0.5862826086956522,0.5879565217391305,0.5472826086956522
2,0.37,0.582680469289165,0.5841821946169773,0.5400966183574879
2,0.38,0.5787040673211781,0.5775483870967741,0.5326788218793829
2,0.39,0.5762565930149679,0.5733143264433358,0.5250178189593727
2,0.4,0.5725217391304348,0.5700869565217391,0.5171014492753623
2,0.41000000000000003,0.5652704495210022,0.5668798820928519,0.5089167280766396
2,0.42000000000000004,0.558392803598201,0.561391304347826,0.5004497751124437
2,0.43,0.5537757437070938,0.5541662852784135,0.49168573607932875
2,0.44,0.5490931677018633,0.5483478260869565,0.4826086956521739
2,0.45,0.5455494071146245,0.5455177865612648,0.47320158102766796
2,0.46,0.5397359098228663,0.5409726247987118,0.46344605475040257
2,0.47000000000000003,0.532738310090238,0.5373913043478261,0.45332239540607056
2,0.48000000000000004,0.5277591973244147,0.5335384615384615,0.44280936454849495
2,0.49,0.521773231031543,0.5276521739130435,0.4318840579710145
2,0.5,0.5168695652173914,0.5213913043478261,0.4205217391304348
2,0.51,0.5116308784383319,0.5169405501330967,0.408695652173913
2,0.52,0.5046086956521739,0.5124927536231884,0.3963768115942029
2,0.53,0.49841258094357077,0.5051322849213691,0.38353376503237735
2,0.54,0.4917051039697542,0.4982684310018903,0.37013232514177685
2,0.55,0.48776811594202896,0.4949178743961353,0.35613526570048304
2,0.56,0.48271936758893286,0.49169960474308294,0.3415019762845849
2,0.5700000000000001,0.47980586450960566,0.4857755308392315,0.32618806875631945
2,0.5800000000000001,0.4751966873706004,0.4820207039337474,0.3101449275362318
2,0.59,0.4693870625662779,0.4780063626723224,0.2933191940615059
2,0.6,0.46765217391304353,0.47217391304347833,0.2756521739130435
2,0.61,0.4647402452619844,0.4707068004459309,0.25707915273132664
2,0.62,0.4588741418764303,0.4642196796338673,0.23752860411899313
2,0.63,0.455764982373678,0.459186839012926,0.2169212690951821
2,0.64,0.4497777777777777,0.4492367149758454,0.1951690821256038
2,0.65,0.4474534161490683,0.44168944099378876,0.1721739130434783
2,0.66,0.4430485933503836,0.43468030690537085,0.14782608695652166
2,0.67,0.4332542819499341,0.431262187088274,0.1220026350461132
2,0.68,0.4248260869565218,0.42117391304347823,0.09456521739130419
2,0.6900000000000001,0.41919775596072917,0.4194109396914445,0.06535764375876563
2,0.7000000000000001,0.4100869565217391,0.41426086956521735,0.03420289855072445
2,0.7100000000000001,0.4040899550224887,0.4056611694152923,0.0008995502248873022
2,0.72,0.39677018633540384,0.4004968944099379,-0.034782608695652084
2,0.73,0.39105958132045093,0.3954396135265701,-0.07310789049919486
2,0.74,0.38260869565217387,0.38458862876254174,-0.11438127090300998
2,0.75,0.3826086956521739,0.37391304347826093,-0.15895652173913044
2,0.76,0.37310144927536226,0.37020289855072464,-0.2072463768115942
2,0.77,0.3642192816635161,0.3653081285444234,-0.2597353497164462
2,0.78,0.3621501976284585,0.3596837944664031,-0.3169960474308303
2,0.79,0.35049275362318844,0.3539544513457557,-0.3797101449275365
2,0.8,0.3460869565217391,0.3495652173913043,-0.4486956521739135
2,0.81,0.33711670480549194,0.342370709382151,-0.5249427917620141
2,0.8200000000000001,0.32537198067632844,0.32873429951690813,-0.6096618357487927
2,0.8300000000000001,0.3147416879795396,0.32208695652173913,-0.7043478260869572
2,0.8400000000000001,0.3074782608695651,0.3053913043478261,-0.8108695652173924
2,0.85,0.30446376811594206,0.2912463768115942,-0.9315942028985505
2,0.86,0.2954037267080746,0.25719254658385093,-1.0695652173913044
2,0.87,0.28192642140468227,0.23448829431438126,-1.2287625418060202
2,0.88,0.272,0.21843478260869564,-1.4144927536231888
2,0.89,0.2643162055335968,0.19721739130434782,-1.6339920948616604
2,0.9,0.2389565217391304,0.19060869565217392,-1.8973913043478268
2,0.91,0.22639613526570043,0.1799806763285024,-2.2193236714975852
2,0.92,0.21947826086956518,0.17252173913043478,-2.6217391304347846
2,0.93,0.20551552795031047,0.1607453416149068,-3.139130434782611
2,0.9400000000000001,0.18840579710144914,0.1474782608695652,-3.8289855072463816
2,0.9500000000000001,0.19199999999999992,0.13113043478260866,-4.794782608695661
2,0.9600000000000001,0.18782608695652164,0.11408695652173909,-6.243478260869579
2,0.97,0.13820289855072468,0.09924637681159423,-8.657971014492745
2,0.98,0.09426086956521745,0.07826086956521741,-13.486956521739117
2,0.99,0.06956521739130436,0.0,-27.973913043478234
3,0.01,0.4146930171277997,0.41466842336407556,0.41466842336407556
3,0.02,0.4078793256433008,0.408695652173913,0.408695652173913
3,0.03,0.40206902734199906,0.4023594800537876,0.4025997310623039
3,0.04,0.3962898550724637,0.3964927536231884,0.3963768115942029
3,0.05,0.3919267734553776,0.3908100686498856,0.3900228832951945
3,0.060000000000000005,0.38759666975023127,0.38570212765957446,0.3835337650323774
3,0.06999999999999999,0.3833941093969145,0.3806227208976157,0.3769050958391772
3,0.08,0.3783894139886579,0.3754404536862004,0.37013232514177696
3,0.09,0.37411180124223603,0.3704653607262303,0.3632107023411371
3,0.09999999999999999,0.3715942028985507,0.36517874396135264,0.3561352657004831
3,0.11,0.3674255007327797,0.3601914997557401,0.34890083048363457
3,0.12,0.36335177865612645,0.3559209486166008,0.341501976284585
3,0.13,0.36006796601699154,0.3516681659170415,0.33393303348325837
3,0.14,0.35432962588473205,0.3479959555106168,0.3261880687563195
3,0.15000000000000002,0.3508542199488491,0.3449411764705882,0.3182608695652174
3,0.16,0.34625258799171843,0.3429730848861284,0.3101449275362319
3,0.17,0.3413766369827134,0.3386024096385542,0.30183342063907803
3,0.18000000000000002,0.3377900318133616,0.33420996818663834,0.2933191940615058
3,0.19,0.33226409017713365,0.33220826623725175,0.28459473966720344
3,0.2,0.32965217391304347,0.3277391304347826,0.2756521739130435
3,0.21000000000000002,0.32452173913043475,0.3255828288387452,0.2664832140891579
3,0.22,0.3220691192865106,0.3231215161649944,0.25707915273132664
3,0.23,0.3170954263128176,0.3213190287972897,0.24743083003952568
3,0.24000000000000002,0.3126407322654462,0.31632036613272313,0.23752860411899313
3,0.25,0.31002898550724634,0.31327536231884057,0.2273623188405797
3,0.26,0.30473325499412457,0.30892596944770856,0.21692126909518214
3,0.27,0.29961643835616436,0.30357117331745087,0.20619416319237638
3,0.28,0.2940676328502415,0.2995169082125604,0.19516908212560383
3,0.29000000000000004,0.289793018983466,0.29653888548683405,0.18383343539497854
3,0.3,0.2846211180124224,0.2914782608695652,0.17217391304347823
3,0.31,0.28040327662255826,0.28862003780718337,0.1601764335223692
3,0.32,0.2782813299232737,0.28478772378516626,0.14782608695652172
