variant,mono_mag,viol_frac,drift,net,absdelta,class_tau,latent_macroAUC,class_means
notpr,0.050008319318294525,0.9996521739130435,0.7730725172628528,-0.21793416270743246,0.09613000601530075,0.9999999999999999,0.7344027127401215,"[0.512,0.784,1.201,1.413,1.435,2.381]"
tpr,0.01757502369582653,0.9993043478260869,0.35241048164989636,0.01890282184144725,0.035487156361341476,0.9999999999999999,0.716891563177838,"[0.629,0.859,1.173,1.345,1.389,1.632]"
anti,0.019070660695433617,0.9993043478260869,0.3981128967948582,-0.1389659416364587,0.03566300868988037,0.9999999999999999,0.7405047224958407,"[0.532,0.774,1.120,1.327,1.435,1.786]"
perm,0.019200172275304794,1.0,0.35002900942512183,0.0031878490240677543,0.038457199931144714,0.9999999999999999,0.7851802565010172,"[0.554,0.713,0.952,1.105,1.236,1.976]"
