model,seed,mono_mag,viol_frac,drift,net,negfrac,n_delta
notpr,42,0.050008319318294525,0.9996521739130435,0.7730725172628528,-0.21793416270743246,0.5352926945766056,161209
notpr,7,0.06081695854663849,0.9993043478260869,1.0109300676117772,-0.07503019246847734,0.5243937993536341,161209
notpr,123,0.060841213911771774,0.9996521739130435,0.7671038901494897,-0.04959738691993382,0.5035016655397652,161209
tpr,42,0.01757502369582653,0.9993043478260869,0.35241048164989636,0.01890282184144725,0.5427364477169389,161209
tpr,7,0.017278479412198067,0.9993043478260869,0.4170740334158358,0.08715983995147374,0.5498576382211912,161209
tpr,123,0.01584959775209427,0.9989565217391304,0.260046741599622,0.08984695292037466,0.49886792920990763,161209
